"age","male","educ","educ0","income","hhincome","white_nh","tea_party","conserv","partyID","pid1","Democrat1","Republican1","milAssert1","intl1","anxiety","cGroup_Endorse","cGroup_Oppose","groupControl","tGroup_Endorse","tGroup_Oppose","cMCheck","tMCheck","cPivot","cCertain","cSucceed","cThreat","tDeploy","tCertain","tSucceed","tThreat","cHot","tHot","cDem","tDem","cFirst","ID"
65,0,7,0.75,6,7,1,0,2,1,0,1,0,0.5625,0.6875,0.4,0,1,0,1,0,1,1,0.144444444444444,0.67,0.51,0.81,0.36,0.83,0.82,0.37,1,0,0,1,0,"R_0196YCpwxl0gueV"
64,0,3,0.25,2,2,1,0,6,7,1,0,1,0.625,0.1875,0.266666666666667,0,0,1,0,0,1,1,0.677777777777778,0.71,0.61,0.64,0.35,0.64,0.38,0.56,1,0,0,1,0,"R_d5TxPMxuIKpEshn"
81,0,8,0.875,6,7,1,0,1,1,0,1,0,0.25,0.75,0.0666666666666667,0,1,0,1,0,1,0,0.4,0.37,0.23,0.23,0.53,0.54,0.61,0.58,1,0,0,1,0,"R_9z2SzZS05irEoi9"
63,0,6,0.625,1,1,1,1,2,4,0.5,0,0,0.5,0.5,0.4,0,0,1,0,0,1,0,0.455555555555555,0.56,0.52,0.55,0.43,0.42,0.49,0.56,0,1,0,1,0,"R_cRPqDdqulLxdbVP"
62,0,7,0.75,1,1,1,0,3,3,0.333333333333333,1,0,0.1875,0.625,0.466666666666667,1,0,0,0,1,1,1,0.144444444444444,1,0.1,0.24,0.25,1,0.02,0.35,0,1,0,1,0,"R_6wZeN1rsBWg0qMJ"
27,0,4,0.375,2,2,1,1,7,7,1,0,1,0.5625,0.25,0.6,0,1,0,1,0,1,1,0.355555555555556,0.53,0.59,0.7,0.53,0.7,0.22,0.7,0,1,1,0,0,"R_cCnYUkcJp6Rgehf"
56,0,6,0.625,2,2,1,0,6,6,0.833333333333333,0,1,0.75,0.3125,0.466666666666667,0,0,1,0,0,1,1,0.611111111111111,0.58,0.43,0.75,0.52,0.09,0.23,0.64,1,0,0,1,1,"R_e5HIKJp5SRi6Xgp"
45,0,7,0.75,4,4,1,0,5,2,0.166666666666667,1,0,0.375,0.75,0.533333333333333,0,0,1,0,0,1,1,0.511111111111111,0.33,0.58,0.46,0.43,0.5,0.35,0.67,0,1,1,0,0,"R_0okjqJGTyOYX9e5"
63,0,9,1,5,5,1,0,4,3,0.333333333333333,1,0,0.5,0.625,0.466666666666667,0,0,1,0,0,1,1,0.255555555555556,0.1,0.14,0.17,0.14,0.13,0.14,0.62,0,1,1,0,1,"R_5o3IVX7fRvYQD6B"
27,0,3,0.25,1,1,1,1,4,4,0.5,0,0,0.5,0.5,0.533333333333333,0,1,0,1,0,0,1,0.377777777777778,0.5,0.5,0.5,0.46,0.5,0.53,0.49,0,1,1,0,0,"R_71jVtaOCoo6U669"
